<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20221018;210000;162.4700000;162.5200000;159.6200000;160.6400000;3038560
GAZP;60;20221018;220000;160.6400000;161.0000000;159.1000000;159.8600000;2126760
GAZP;60;20221018;230000;159.8800000;160.4500000;159.8000000;160.2000000;611430
GAZP;60;20221019;100000;159.3100000;161.0000000;157.8000000;157.9000000;6619820
GAZP;60;20221019;110000;157.9000000;160.0000000;157.6000000;158.9900000;2444460
GAZP;60;20221019;120000;158.9900000;159.4800000;158.2000000;159.0300000;1545390
GAZP;60;20221019;130000;159.0900000;159.5000000;158.8900000;159.4000000;895040
GAZP;60;20221019;140000;159.4000000;160.5000000;157.4000000;159.9500000;5917520
GAZP;60;20221019;150000;159.9500000;160.3100000;159.3100000;159.8800000;1443680
GAZP;60;20221019;160000;159.8500000;160.4800000;159.8000000;160.0800000;768320
GAZP;60;20221019;170000;160.0100000;160.3200000;159.7900000;159.8500000;903510
GAZP;60;20221019;180000;159.8500000;160.4600000;159.7400000;160.4600000;636730
GAZP;60;20221019;190000;160.4400000;160.9600000;160.0200000;160.9500000;657570
GAZP;60;20221019;200000;160.9600000;161.5000000;160.8000000;160.9900000;1032850
GAZP;60;20221019;210000;160.9900000;161.3500000;160.9600000;161.1400000;312460
GAZP;60;20221019;220000;161.1400000;161.2500000;161.0100000;161.0300000;202250
GAZP;60;20221019;230000;161.0400000;161.2900000;160.9100000;161.2900000;200340
GAZP;60;20221020;100000;161.6900000;162.4800000;161.0000000;162.1000000;3575240
GAZP;60;20221020;110000;162.1000000;162.2500000;160.3100000;160.9300000;2399180
GAZP;60;20221020;120000;160.9300000;161.8000000;160.6600000;161.7000000;1293760
GAZP;60;20221020;130000;161.7000000;161.9500000;161.2700000;161.5300000;1092050
GAZP;60;20221020;140000;161.5300000;161.9600000;161.4200000;161.6000000;679300
GAZP;60;20221020;150000;161.6000000;161.9200000;160.7400000;160.8300000;1707900
GAZP;60;20221020;160000;160.8900000;161.1200000;160.4600000;160.6000000;1057280
GAZP;60;20221020;170000;160.6000000;160.9000000;160.1500000;160.7300000;718430
GAZP;60;20221020;180000;160.7200000;160.8100000;160.3200000;160.6000000;531890
GAZP;60;20221020;190000;160.6500000;160.9500000;160.4000000;160.7300000;445160
GAZP;60;20221020;200000;160.7300000;160.7700000;160.5500000;160.6900000;202140
GAZP;60;20221020;210000;160.6900000;161.0900000;160.6000000;160.9000000;359560
GAZP;60;20221020;220000;160.8300000;160.9000000;160.7200000;160.8400000;126750
GAZP;60;20221020;230000;160.7800000;160.9000000;160.6000000;160.7500000;161040
GAZP;60;20221021;100000;159.9900000;160.5000000;159.6200000;159.9500000;2708530
GAZP;60;20221021;110000;159.9500000;159.9900000;159.0300000;159.2200000;1834390
GAZP;60;20221021;120000;159.2000000;159.9000000;159.0800000;159.6700000;818990
GAZP;60;20221021;130000;159.6600000;160.9900000;159.6300000;160.4000000;1946140
GAZP;60;20221021;140000;160.3700000;160.9000000;160.1100000;160.7700000;712920
GAZP;60;20221021;150000;160.7700000;161.2200000;160.5700000;160.9300000;1059100
GAZP;60;20221021;160000;160.9200000;161.8000000;160.8700000;161.6900000;1857140
GAZP;60;20221021;170000;161.6800000;162.0000000;161.3700000;161.8500000;1521480
GAZP;60;20221021;180000;161.8500000;163.0000000;161.5800000;163.0000000;2026620
GAZP;60;20221021;190000;163.0000000;169.9600000;162.7600000;166.7400000;13729980
GAZP;60;20221021;200000;166.7400000;167.4000000;166.3000000;166.4800000;2798080
GAZP;60;20221021;210000;166.4300000;166.7000000;165.6100000;166.3900000;1756870
GAZP;60;20221021;220000;166.3300000;167.0800000;166.3000000;166.9000000;1319990
GAZP;60;20221021;230000;166.8600000;167.3100000;166.8000000;166.9900000;1407370
GAZP;60;20221024;100000;167.9000000;168.8800000;166.3400000;168.3600000;7481800
GAZP;60;20221024;110000;168.3900000;168.4500000;166.5000000;166.6600000;3647720
GAZP;60;20221024;120000;166.6600000;166.8500000;165.4000000;166.7400000;3967480
GAZP;60;20221024;130000;166.7400000;166.8000000;165.8700000;166.1300000;1010830
GAZP;60;20221024;140000;166.1300000;166.3300000;164.8200000;165.8000000;2950960
GAZP;60;20221024;150000;165.8000000;166.3800000;165.6000000;166.1600000;1355120
GAZP;60;20221024;160000;166.1600000;167.0800000;166.1000000;166.5500000;1210080
GAZP;60;20221024;170000;166.6000000;166.9200000;165.5000000;165.8700000;1568230
GAZP;60;20221024;180000;165.8600000;165.9100000;165.5000000;165.9000000;908610
GAZP;60;20221024;190000;165.9000000;166.5000000;165.5000000;165.9800000;528890
GAZP;60;20221024;200000;165.9700000;166.0800000;165.7500000;165.9900000;277910
GAZP;60;20221024;210000;165.9900000;166.0700000;165.9000000;165.9800000;181430
GAZP;60;20221024;220000;165.9800000;166.1000000;165.7000000;166.0000000;277020
GAZP;60;20221024;230000;166.0000000;166.0000000;165.0500000;165.4700000;476800
GAZP;60;20221025;100000;166.0000000;166.4500000;164.2200000;165.1800000;4462210
GAZP;60;20221025;110000;165.1800000;167.8500000;164.9400000;167.2000000;4940650
GAZP;60;20221025;120000;167.2000000;168.4400000;167.1300000;167.9300000;5347750
GAZP;60;20221025;130000;167.9600000;168.9000000;167.7000000;168.8300000;2963440
GAZP;60;20221025;140000;168.8200000;169.2500000;168.1000000;169.1900000;2770220
GAZP;60;20221025;150000;169.1200000;169.5000000;168.7000000;168.9600000;2822500
GAZP;60;20221025;160000;168.9600000;170.3300000;168.9300000;170.1700000;4166450
GAZP;60;20221025;170000;170.1600000;172.1200000;169.9800000;171.7500000;7707180
GAZP;60;20221025;180000;171.7500000;173.9000000;171.6300000;173.7900000;5053970
GAZP;60;20221025;190000;173.7900000;174.6900000;172.6300000;173.0500000;3144490
GAZP;60;20221025;200000;173.0500000;173.5000000;172.0300000;172.2300000;1409040
GAZP;60;20221025;210000;172.1800000;172.4000000;171.5500000;171.8500000;1516410
GAZP;60;20221025;220000;171.8400000;172.5700000;171.7000000;172.3600000;746040
GAZP;60;20221025;230000;172.3600000;172.4500000;172.0000000;172.3800000;506650
GAZP;60;20221026;100000;173.3100000;173.4200000;170.1000000;170.8900000;7433880
GAZP;60;20221026;110000;170.9000000;173.4100000;170.3400000;171.6200000;5587770
GAZP;60;20221026;120000;171.6900000;171.7000000;170.2100000;170.9500000;2615180
GAZP;60;20221026;130000;170.9500000;171.0000000;169.6300000;169.7500000;4067980
GAZP;60;20221026;140000;169.8100000;170.4800000;168.7000000;170.0300000;3887960
GAZP;60;20221026;150000;170.0300000;170.9900000;169.5600000;170.5500000;1818770
GAZP;60;20221026;160000;170.5300000;170.7700000;169.7000000;169.7800000;985720
GAZP;60;20221026;170000;169.7600000;171.4000000;169.6100000;171.3100000;1614790
GAZP;60;20221026;180000;171.4000000;172.1800000;171.1800000;171.4900000;2197800
GAZP;60;20221026;190000;171.5800000;172.5000000;171.1100000;172.0700000;1497720
GAZP;60;20221026;200000;172.0000000;172.4500000;171.4300000;172.0900000;1469750
GAZP;60;20221026;210000;172.0900000;172.1900000;171.5500000;171.9400000;536440
GAZP;60;20221026;220000;171.9400000;172.2000000;171.8100000;172.2000000;504120
GAZP;60;20221026;230000;172.2000000;172.2000000;171.8600000;171.9800000;308950
GAZP;60;20221027;100000;172.5000000;173.3400000;171.3000000;173.2800000;5133690
GAZP;60;20221027;110000;173.2600000;173.9800000;172.9000000;173.5000000;4199800
GAZP;60;20221027;120000;173.4500000;173.9300000;173.0600000;173.2900000;2057380
GAZP;60;20221027;130000;173.2500000;173.8500000;173.1000000;173.1300000;1663330
GAZP;60;20221027;140000;173.1600000;173.2400000;172.0100000;172.0400000;3044630
GAZP;60;20221027;150000;172.0400000;173.1800000;172.0000000;172.7000000;1716300
GAZP;60;20221027;160000;172.8300000;173.1700000;172.6100000;172.7400000;1249810
GAZP;60;20221027;170000;172.7400000;173.1600000;172.6000000;173.0800000;1169800
GAZP;60;20221027;180000;173.0700000;173.0800000;172.7200000;173.0600000;842050
GAZP;60;20221027;190000;173.1900000;173.1900000;172.7000000;172.9000000;517000
GAZP;60;20221027;200000;172.9000000;173.0700000;172.8500000;173.0600000;356560
GAZP;60;20221027;210000;173.0600000;173.2700000;173.0200000;173.1600000;445010
GAZP;60;20221027;220000;173.1500000;173.2300000;173.0000000;173.1500000;331830
GAZP;60;20221027;230000;173.1500000;173.1700000;172.4000000;172.4700000;554040
GAZP;60;20221028;100000;171.9900000;172.3500000;169.7500000;170.2800000;6240150
GAZP;60;20221028;110000;170.2800000;170.7000000;169.4200000;170.0100000;5230880
GAZP;60;20221028;120000;170.0600000;170.7900000;169.4100000;170.7800000;2649850
GAZP;60;20221028;130000;170.7600000;171.1900000;170.2000000;171.0400000;2336670
GAZP;60;20221028;140000;171.0400000;171.5000000;170.5000000;170.7100000;4119260
GAZP;60;20221028;150000;170.6800000;170.7200000;170.0000000;170.1500000;1824400
